CustomerID,Gender,Age,Income,SpendingScore,Cluster,Segment,AgeGroup
80,Female,49,54,42,0,Regular Customers,Middle Age
81,Male,57,54,51,0,Regular Customers,Middle Age
82,Male,38,54,55,0,Regular Customers,Adult
83,Male,67,54,41,0,Regular Customers,Senior
84,Female,46,54,44,0,Regular Customers,Middle Age
85,Female,21,54,57,0,Regular Customers,Young
86,Male,48,54,46,0,Regular Customers,Middle Age
87,Female,55,57,58,0,Regular Customers,Middle Age
88,Female,22,57,55,0,Regular Customers,Young
89,Female,34,58,60,0,Regular Customers,Adult
90,Female,50,58,46,0,Regular Customers,Middle Age
91,Female,68,59,55,0,Regular Customers,Senior
92,Male,18,59,41,0,Regular Customers,Young
93,Male,48,60,49,0,Regular Customers,Middle Age
94,Female,40,60,40,0,Regular Customers,Adult
95,Female,32,60,42,0,Regular Customers,Adult
96,Male,24,60,52,0,Regular Customers,Young
97,Female,47,60,47,0,Regular Customers,Middle Age
98,Female,27,60,50,0,Regular Customers,Adult
99,Male,48,61,42,0,Regular Customers,Middle Age
100,Male,20,61,49,0,Regular Customers,Young
101,Female,23,62,41,0,Regular Customers,Young
102,Female,49,62,48,0,Regular Customers,Middle Age
103,Male,67,62,59,0,Regular Customers,Senior
104,Male,26,62,55,0,Regular Customers,Adult
105,Male,49,62,56,0,Regular Customers,Middle Age
106,Female,21,62,42,0,Regular Customers,Young
107,Female,66,63,50,0,Regular Customers,Senior
108,Male,54,63,46,0,Regular Customers,Middle Age
109,Male,68,63,43,0,Regular Customers,Senior
110,Male,66,63,48,0,Regular Customers,Senior
111,Male,65,63,52,0,Regular Customers,Senior
112,Female,19,63,54,0,Regular Customers,Young
113,Female,38,64,42,0,Regular Customers,Adult
114,Male,19,64,46,0,Regular Customers,Young
115,Female,18,65,48,0,Regular Customers,Young
116,Female,19,65,50,0,Regular Customers,Young
117,Female,63,65,43,0,Regular Customers,Senior
118,Female,49,65,59,0,Regular Customers,Middle Age
119,Female,51,67,43,0,Regular Customers,Middle Age
120,Female,50,67,57,0,Regular Customers,Middle Age
121,Male,27,67,56,0,Regular Customers,Adult
122,Female,38,67,40,0,Regular Customers,Adult
123,Female,40,69,58,0,Regular Customers,Adult
124,Male,39,69,91,1,VIP Customers,Adult
125,Female,23,70,29,3,High Income Low Spending,Young
126,Female,31,70,77,1,VIP Customers,Adult
127,Male,43,71,35,0,Regular Customers,Middle Age
128,Male,40,71,95,1,VIP Customers,Adult
129,Male,59,71,11,3,High Income Low Spending,Middle Age
130,Male,38,71,75,1,VIP Customers,Adult
131,Male,47,71,9,3,High Income Low Spending,Middle Age
132,Male,39,71,75,1,VIP Customers,Adult
133,Female,25,72,34,0,Regular Customers,Young
134,Female,31,72,71,1,VIP Customers,Adult
135,Male,20,73,5,3,High Income Low Spending,Young
136,Female,29,73,88,1,VIP Customers,Adult
137,Female,44,73,7,3,High Income Low Spending,Middle Age
138,Male,32,73,73,1,VIP Customers,Adult
139,Male,19,74,10,3,High Income Low Spending,Young
140,Female,35,74,72,1,VIP Customers,Adult
141,Female,57,75,5,3,High Income Low Spending,Middle Age
142,Male,32,75,93,1,VIP Customers,Adult
143,Female,28,76,40,0,Regular Customers,Adult
144,Female,32,76,87,1,VIP Customers,Adult
145,Male,25,77,12,3,High Income Low Spending,Young
146,Male,28,77,97,1,VIP Customers,Adult
147,Male,48,77,36,3,High Income Low Spending,Middle Age
148,Female,32,77,74,1,VIP Customers,Adult
149,Female,34,78,22,3,High Income Low Spending,Adult
150,Male,34,78,90,1,VIP Customers,Adult
151,Male,43,78,17,3,High Income Low Spending,Middle Age
152,Male,39,78,88,1,VIP Customers,Adult
153,Female,44,78,20,3,High Income Low Spending,Middle Age
154,Female,38,78,76,1,VIP Customers,Adult
155,Female,47,78,16,3,High Income Low Spending,Middle Age
156,Female,27,78,89,1,VIP Customers,Adult
157,Male,37,78,1,3,High Income Low Spending,Adult
158,Female,30,78,78,1,VIP Customers,Adult
159,Male,34,78,1,3,High Income Low Spending,Adult
160,Female,30,78,73,1,VIP Customers,Adult
161,Female,56,79,35,3,High Income Low Spending,Middle Age
162,Female,29,79,83,1,VIP Customers,Adult
163,Male,19,81,5,3,High Income Low Spending,Young
164,Female,31,81,93,1,VIP Customers,Adult
165,Male,50,85,26,3,High Income Low Spending,Middle Age
166,Female,36,85,75,1,VIP Customers,Adult
167,Male,42,86,20,3,High Income Low Spending,Middle Age
168,Female,33,86,95,1,VIP Customers,Adult
169,Female,36,87,27,3,High Income Low Spending,Adult
170,Male,32,87,63,1,VIP Customers,Adult
171,Male,40,87,13,3,High Income Low Spending,Adult
172,Male,28,87,75,1,VIP Customers,Adult
173,Male,36,87,10,3,High Income Low Spending,Adult
174,Male,36,87,92,1,VIP Customers,Adult
175,Female,52,88,13,3,High Income Low Spending,Middle Age
176,Female,30,88,86,1,VIP Customers,Adult
177,Male,58,88,15,3,High Income Low Spending,Middle Age
178,Male,27,88,69,1,VIP Customers,Adult
179,Male,59,93,14,3,High Income Low Spending,Middle Age
180,Male,35,93,90,1,VIP Customers,Adult
181,Female,37,97,32,3,High Income Low Spending,Adult
182,Female,32,97,86,1,VIP Customers,Adult
183,Male,46,98,15,3,High Income Low Spending,Middle Age
184,Female,29,98,88,1,VIP Customers,Adult
185,Female,41,99,39,3,High Income Low Spending,Middle Age
186,Male,30,99,97,1,VIP Customers,Adult
187,Female,54,101,24,3,High Income Low Spending,Middle Age
188,Male,28,101,68,1,VIP Customers,Adult
189,Female,41,103,17,3,High Income Low Spending,Middle Age
190,Female,36,103,85,1,VIP Customers,Adult
191,Female,34,103,23,3,High Income Low Spending,Adult
192,Female,32,103,69,1,VIP Customers,Adult
193,Male,33,113,8,3,High Income Low Spending,Adult
194,Female,38,113,91,1,VIP Customers,Adult
195,Female,47,120,16,3,High Income Low Spending,Middle Age
196,Female,35,120,79,1,VIP Customers,Adult
197,Female,45,126,28,3,High Income Low Spending,Middle Age
198,Male,32,126,74,1,VIP Customers,Adult
199,Male,32,137,18,3,High Income Low Spending,Adult
200,Male,30,137,83,1,VIP Customers,Adult
